"V1" "V2" "V3" "V4" "V5" "V6" "V7"
12177.6174282987 4101.2021721555 2149.23308994611 1039.6019798375 563.555022048217 386.874786437167 264.920718796975
8969.4205977053 3685.59085407269 2981.86604939308 2002.36989099784 590.432821047775 299.823504430288 245.379520316679
12039.3756512662 3760.33425070581 3515.76122229654 819.096934122624 734.720688352273 216.383602408948 237.222373408777
11899.5132461918 4658.68363961768 2810.90029323387 1285.24760255294 500.247068102061 286.76477241202 129.215324229803
13878.0752588143 6703.73052150637 2261.56753544228 1428.15224535118 398.416592069472 369.410477675978 126.67832329781
12615.6024078881 5068.62924861362 1658.49832663441 1159.17194415936 436.288678552267 181.730787901746 205.974459292776
10708.2293124858 2720.84163861996 1800.58242057629 671.084217787401 560.081222560772 223.900781829475 150.468766313475
14001.2008723724 2979.66586908059 1769.74118260964 1153.00706480592 688.786513540543 334.102592846733 154.80660890951
12278.1928536392 3359.51414397747 1952.01791367541 992.510603178629 752.568547068473 326.02867804613 208.208920571677
8661.93696449287 5510.02136850797 2016.52261357619 1288.43393726857 255.735014841594 170.212646345782 239.209674447741
13745.9719615217 5264.20002219487 1590.44398650847 951.807880824976 549.756698154048 358.878714882895 200.324487971148
6597.46030469811 2222.86887933807 1978.3182737086 1367.19737515801 427.190242783683 363.359100002974 180.753439433616
8052.79889892814 1655.68718218603 2484.9398273392 1463.65026045839 440.511105905354 349.322505794354 186.411229401157
12267.5657038459 2416.39084987994 1759.33185109956 1391.34092251497 459.772377929623 447.587792522815 195.642996342088
7781.65145396256 3984.12724612295 3042.446808501 1085.7228332549 547.209598087303 250.581287988756 208.798258228666
12027.9556064637 3841.74437928684 2315.40422638467 914.079454612947 295.275835148289 142.069704277249 193.824146197961
8638.26195329373 5108.63253628649 1862.0514233678 1479.24553428645 439.067529142453 230.336005463806 261.510870563168
11346.4077926547 5833.5689315875 2359.43152932004 883.209370319558 525.383047116762 270.753120573929 241.873574211735
14624.9529167524 2933.81552278074 1406.77175333918 524.31234224661 715.723500078367 260.346541474 145.094690119202
11714.6405197547 3183.93710886256 3214.19137640837 1764.78425016776 208.343325628451 282.515596703284 239.612977363257
10547.1770925483 9404.01524128628 2140.10619486611 727.143496599679 643.30579149919 292.602888143365 89.2877369562368
20987.7379415899 5775.51672182606 3425.77194585748 873.073625941878 425.475055651644 212.614779476105 191.324537370194
12589.7998956641 3165.27086003493 1849.09517248924 1551.8741277097 420.300718230418 250.631522150296 207.175330788132
8797.50874781223 2869.21672566795 2467.9933383974 1527.40064552983 515.031709785711 304.620112807873 148.033499094686
15304.9324506976 4442.60593330289 2355.12093598168 694.626120271462 532.369662433228 365.053470276369 197.16515222819
13642.2087215653 4510.35494388936 3170.63640943053 627.654981192889 439.58029245434 273.306027328939 186.876588671675
11951.9340584111 3466.65800202866 2407.78690289608 1447.0923898324 559.96087808489 277.454287925948 196.416976737123
14172.485323097 3253.98510002386 2821.78903382536 1058.77321995263 371.288087793472 299.542457032953 180.76034359144
6933.673753749 4442.41706040216 2999.08550523769 559.230308392251 299.462787712866 223.718877679383 245.782316012069
12590.4146178579 4176.19665324272 4454.85281293155 1110.54838593641 861.944750396604 223.995592320273 168.007964942003
8032.94931313077 7465.49010563526 2579.21011491994 899.752453792302 209.78651165444 282.043090516976 122.630371483411
10308.0580772882 2494.39930727524 2411.54532230847 643.046712846522 363.012500343392 269.157190590458 221.737166248768
13842.7301496704 2327.3802558827 1965.36553895712 1203.80206546583 607.73127941844 297.193461503062 183.283912215366
12976.2256357106 5250.19005267796 2326.44772933706 844.140029111099 797.001398952806 396.51238116516 235.274643019263
14041.4937809121 5821.39962277275 2453.4788127815 1609.55409615091 891.224222725686 370.192622976555 232.618777656992
13513.5258715436 5206.38470438564 1435.69930840516 1058.93455192525 757.629358235174 393.041810504957 200.465262757155
10213.7961450206 6930.798628793 2409.60810371005 1058.19316201859 617.028605384768 326.615045114299 121.851641312569
9020.75796023577 2633.59385164689 1370.74937933956 1438.94739242421 401.752299376719 333.534253557891 200.866061583184
11945.8172918911 2209.50641294071 2656.52853747127 1621.06203743026 507.4945354496 501.143904928184 198.357357778686
10608.259600962 4694.0008372153 2368.79167815286 845.144437456965 753.591783572984 209.135987236813 216.531020136789
9649.15914745725 3219.9454060851 1614.42350437021 1280.27961275675 520.395763673954 428.523189403437 264.989361592858
12957.11298176 5323.63620120679 1221.92533119351 1423.11816035717 451.794681619043 334.24263739908 153.995099848626
14501.1504860055 4707.26371590457 2553.00256410225 1083.87809794297 219.480825393057 183.053464332895 220.347794303084
8050.22750166806 3138.96016043487 1790.9476547226 996.250342237135 591.275703497958 175.407238777566 189.563507930471
13991.0718092588 3650.97344078416 3211.13904148496 1620.73525004638 429.728036971458 245.251231821237 290.034101561158
