"","score","method","forest"
"rpart177",20.3701268385463,"rpart","DECISION TREE"
"rpart178",20.828969435631,"rpart","DECISION TREE"
"rpart179",19.1133413511227,"rpart","DECISION TREE"
"rpart180",22.3875905722542,"rpart","DECISION TREE"
"rpart181",24.0710398509886,"rpart","DECISION TREE"
"rpart182",22.0832525285368,"rpart","DECISION TREE"
"rpart183",19.1946206021295,"rpart","DECISION TREE"
"rpart184",19.2876481472285,"rpart","DECISION TREE"
"rpart185",19.1420288352294,"rpart","DECISION TREE"
"rpart186",22.5153447533237,"rpart","DECISION TREE"
"rpart187",19.9670635291577,"rpart","DECISION TREE"
"rpart188",20.4535869441795,"rpart","DECISION TREE"
"rpart189",19.8073536510803,"rpart","DECISION TREE"
"rpart190",21.4479268738646,"rpart","DECISION TREE"
"rpart191",22.7507349297693,"rpart","DECISION TREE"
"rpart192",21.3867746016696,"rpart","DECISION TREE"
"rpart193",21.4613639182843,"rpart","DECISION TREE"
"rpart194",21.0311263550753,"rpart","DECISION TREE"
"rpart195",21.4275127346107,"rpart","DECISION TREE"
"rpart196",21.3616392923064,"rpart","DECISION TREE"
"rpart197",22.7297233582814,"rpart","DECISION TREE"
"rpart198",21.4146092183642,"rpart","DECISION TREE"
"rpart199",21.5058801532137,"rpart","DECISION TREE"
"rpart200",22.4169310233568,"rpart","DECISION TREE"
"rpart201",26.2425749491158,"rpart","DECISION TREE"
"rpart202",20.4105622935158,"rpart","DECISION TREE"
"rpart203",19.1124040023291,"rpart","DECISION TREE"
"rpart204",23.0304177408597,"rpart","DECISION TREE"
"rpart205",19.2052162967695,"rpart","DECISION TREE"
"rpart206",21.3164032679401,"rpart","DECISION TREE"
"rpart207",19.6357292970967,"rpart","DECISION TREE"
"rpart208",18.5312552909903,"rpart","DECISION TREE"
"rpart209",23.9569670518195,"rpart","DECISION TREE"
"rpart210",18.9473910091122,"rpart","DECISION TREE"
"rpart211",20.0311038404179,"rpart","DECISION TREE"
"rpart212",20.1820281931108,"rpart","DECISION TREE"
"rpart213",18.6311157631647,"rpart","DECISION TREE"
"rpart214",18.7856360072036,"rpart","DECISION TREE"
"rpart215",17.5410032687138,"rpart","DECISION TREE"
"rpart216",19.2877348334523,"rpart","DECISION TREE"
"rpart217",18.4868363883817,"rpart","DECISION TREE"
"rpart218",22.4524032767646,"rpart","DECISION TREE"
"rpart219",22.3023524522112,"rpart","DECISION TREE"
"rpart220",17.5128881860075,"rpart","DECISION TREE"
"rpart221",18.1107881358225,"rpart","DECISION TREE"
"rpart222",22.6061634476528,"rpart","DECISION TREE"
"rpart223",20.6002478601778,"rpart","DECISION TREE"
"rpart224",18.2544890429273,"rpart","DECISION TREE"
"rpart225",20.5203352867914,"rpart","DECISION TREE"
"rpart226",21.3792159513926,"rpart","DECISION TREE"
"rpart227",21.3503929121386,"rpart","DECISION TREE"
"rpart228",21.3669056230817,"rpart","DECISION TREE"
"rpart229",20.4801640123126,"rpart","DECISION TREE"
"rpart230",21.0304721193267,"rpart","DECISION TREE"
"rpart231",21.0426485380816,"rpart","DECISION TREE"
"rpart232",19.7566736999774,"rpart","DECISION TREE"
"rpart233",20.7872582521715,"rpart","DECISION TREE"
"rpart234",21.1727602917829,"rpart","DECISION TREE"
"rpart235",21.1058794610996,"rpart","DECISION TREE"
"rpart236",23.5904089888422,"rpart","DECISION TREE"
"rpart237",20.7006236652143,"rpart","DECISION TREE"
"rpart238",20.8158365686126,"rpart","DECISION TREE"
"rpart239",20.9759584502455,"rpart","DECISION TREE"
"rpart240",24.1090611814564,"rpart","DECISION TREE"
"rpart241",19.0896267391451,"rpart","DECISION TREE"
"rpart242",20.1311004806039,"rpart","DECISION TREE"
"rpart243",19.7861313428621,"rpart","DECISION TREE"
"rpart244",23.0047090174081,"rpart","DECISION TREE"
"rpart245",23.6554675032972,"rpart","DECISION TREE"
"rpart246",20.8197976418626,"rpart","DECISION TREE"
"rpart247",21.0579907676679,"rpart","DECISION TREE"
"rpart248",22.7438040606132,"rpart","DECISION TREE"
"rpart249",19.5157519611542,"rpart","DECISION TREE"
"rpart250",20.1739460412424,"rpart","DECISION TREE"
"rpart251",20.5733885696219,"rpart","DECISION TREE"
"rpart252",18.4371752411962,"rpart","DECISION TREE"
"rpart253",20.7753275254709,"rpart","DECISION TREE"
"rpart254",22.4987408811431,"rpart","DECISION TREE"
"rpart255",21.3346159463664,"rpart","DECISION TREE"
"rpart256",21.7254816250899,"rpart","DECISION TREE"
"rpart257",19.6548426378136,"rpart","DECISION TREE"
"rpart258",19.4274069155795,"rpart","DECISION TREE"
"rpart259",20.7554934073597,"rpart","DECISION TREE"
"rpart260",20.0943344460418,"rpart","DECISION TREE"
"rpart261",17.9540712475351,"rpart","DECISION TREE"
"rpart262",21.1590032517234,"rpart","DECISION TREE"
"rpart263",22.1517790235692,"rpart","DECISION TREE"
"rpart264",21.4476357652668,"rpart","DECISION TREE"
"rpart265",19.1832531671049,"rpart","DECISION TREE"
"rpart266",20.1041900461243,"rpart","DECISION TREE"
"rpart267",21.0334636723616,"rpart","DECISION TREE"
